type,cells,id,jaccard_sets,edge_jaccard,im_distance,im_similarity,best_k
type_6,cells_100,0002,0.333333,0.500000,1.206613,0.732007,5
type_6,cells_100,0003,0.571429,1.000000,1.105607,0.761337,5
type_6,cells_100,0004,0.571429,0.714286,1.105607,0.761337,5
type_6,cells_100,0005,0.333333,0.500000,1.429559,0.682490,5
type_6,cells_100,0006,0.571429,1.000000,1.311498,0.716891,5
type_6,cells_100,0007,0.571429,0.714286,1.225337,0.735491,5
type_6,cells_100,0008,0.571429,0.875000,1.069695,0.769089,5
type_6,cells_100,0009,0.333333,0.777778,1.548661,0.656037,5
type_6,cells_100,0010,0.571429,0.900000,1.745105,0.623290,5
type_6,cells_100,0011,0.571429,0.875000,0.874491,0.811227,5
type_6,cells_100,0017,0.571429,1.000000,1.069695,0.769089,5
type_6,cells_100,0018,0.333333,0.888889,1.161220,0.742089,5
type_6,cells_100,0019,0.333333,0.714286,1.289875,0.713515,5
type_6,cells_100,0020,0.571429,0.750000,1.749089,0.622430,5
type_6,cells_100,0021,0.571429,0.777778,1.473433,0.681935,5
type_6,cells_100,0022,0.333333,0.714286,1.429559,0.682490,5
type_6,cells_100,0023,0.571429,1.000000,0.995331,0.785141,5
type_6,cells_100,0024,0.571429,0.888889,1.378340,0.702463,5
type_6,cells_100,0025,0.333333,0.500000,1.020240,0.773401,5
type_6,cells_100,0026,0.333333,0.714286,1.206613,0.732007,5
type_6,cells_200,0002,0.333333,0.400000,0.000000,1.000000,5
type_6,cells_200,0003,0.571429,1.000000,1.105607,0.761337,5
type_6,cells_200,0004,0.571429,0.750000,1.379921,0.702121,5
type_6,cells_200,0005,0.333333,0.500000,1.429559,0.682490,5
type_6,cells_200,0006,0.571429,1.000000,1.505812,0.674946,5
type_6,cells_200,0007,0.571429,0.666667,0.000000,1.000000,5
type_6,cells_200,0008,0.333333,0.500000,1.247978,0.722820,5
type_6,cells_200,0009,0.333333,0.777778,2.035955,0.547808,5
type_6,cells_200,0010,0.571429,0.888889,0.995331,0.785141,5
type_6,cells_200,0011,0.571429,0.666667,0.000000,1.000000,5
type_6,cells_200,0017,0.571429,1.000000,1.047994,0.773773,5
type_6,cells_200,0018,0.333333,0.888889,1.161220,0.742089,5
type_6,cells_200,0019,0.333333,0.857143,1.332009,0.704157,5
type_6,cells_200,0020,0.571429,0.875000,2.197573,0.525618,5
type_6,cells_200,0021,0.571429,0.714286,0.874491,0.811227,5
type_6,cells_200,0022,0.333333,0.714286,1.429559,0.682490,5
type_6,cells_200,0023,0.333333,0.777778,1.548661,0.656037,5
type_6,cells_200,0024,0.571429,0.875000,1.034240,0.776742,5
type_6,cells_200,0025,0.333333,0.714286,1.247978,0.722820,5
type_6,cells_200,0026,0.333333,0.714286,1.206613,0.732007,5
type_10,cells_100,0002,0.615385,0.944444,0.776306,0.844525,9
type_10,cells_100,0003,0.615385,0.769231,1.092421,0.779666,9
type_10,cells_100,0004,0.363636,0.642857,0.965887,0.803544,9
type_10,cells_100,0005,0.714286,1.000000,0.819006,0.836955,9
type_10,cells_100,0006,0.363636,0.500000,0.719164,0.852232,9
type_10,cells_100,0007,0.800000,1.000000,0.546366,0.891793,9
type_10,cells_100,0008,0.615385,0.900000,1.033422,0.793030,9
type_10,cells_100,0009,0.363636,0.764706,1.092295,0.777834,9
type_10,cells_100,0010,0.500000,0.833333,1.232009,0.751512,9
type_10,cells_100,0011,0.363636,0.692308,0.913552,0.814189,9
type_10,cells_100,0017,0.615385,0.875000,0.614239,0.876983,9
type_10,cells_100,0018,0.500000,0.733333,1.394643,0.716338,9
type_10,cells_100,0019,0.363636,0.692308,0.771321,0.843118,9
type_10,cells_100,0020,0.200000,0.400000,0.000000,1.000000,9
type_10,cells_100,0021,0.615385,0.941176,0.695116,0.860785,9
type_10,cells_100,0022,0.363636,0.583333,0.807327,0.835795,9
type_10,cells_100,0023,0.500000,0.888889,0.948876,0.808618,9
type_10,cells_100,0024,0.200000,0.454545,0.663097,0.863752,9
type_10,cells_100,0025,0.615385,0.866667,0.791897,0.840280,9
type_10,cells_100,0026,0.363636,0.615385,0.727532,0.852024,9
type_10,cells_200,0002,0.615385,0.933333,0.755692,0.848653,9
type_10,cells_200,0003,0.615385,0.769231,0.856141,0.828535,9
type_10,cells_200,0004,0.500000,0.882353,0.885396,0.821422,9
type_10,cells_200,0005,0.714286,1.000000,0.655706,0.869464,9
type_10,cells_200,0006,0.363636,0.545455,0.608181,0.876300,9
type_10,cells_200,0007,0.800000,1.000000,0.456849,0.909521,9
type_10,cells_200,0008,0.615385,0.866667,0.934175,0.811583,9
type_10,cells_200,0009,0.363636,0.733333,0.934472,0.809934,9
type_10,cells_200,0010,0.500000,0.785714,1.075687,0.783041,9
type_10,cells_200,0011,0.363636,0.666667,0.904339,0.816063,9
type_10,cells_200,0017,0.500000,0.800000,0.665426,0.865788,9
type_10,cells_200,0018,0.500000,0.750000,1.217357,0.754467,9
type_10,cells_200,0019,0.363636,0.714286,0.878797,0.821258,9
type_10,cells_200,0020,0.200000,0.500000,0.926623,0.809604,9
type_10,cells_200,0021,0.615385,0.928571,0.545435,0.889989,9
type_10,cells_200,0022,0.363636,0.615385,0.678959,0.861904,9
type_10,cells_200,0023,0.500000,0.785714,0.797390,0.839172,9
type_10,cells_200,0024,0.200000,0.454545,0.643065,0.867868,9
type_10,cells_200,0025,0.615385,0.882353,0.803452,0.839088,9
type_10,cells_200,0026,0.363636,0.583333,0.576458,0.882752,9
